group,IAM,IAlD,IAA
CK,523.7005,12832.6648,10394.7379
CK,550.2588,12762.476,10569.9292
CK,507.2092,12851.6958,9892.0847
CK,490.5268,12194.519,9672.9748
CK,477.5243,13166.7747,9731.6699
CK,476.735,11899.3167,7592.8836
CK,414.4999,11237.8563,9546.5046
CK,483.9273,10299.0574,8361.5876
C. s,377.2673,4153.3252,23121.9949
C. s,458.2455,5095.46,25184.8061
C. s,471.6286,5405.9137,29110.3741
C. s,370.1559,2652.4015,13849.3063
C. s,474.3352,5127.3272,29047.1238
C. s,435.2593,4844.9906,27716.7713
C. s,434.3696,5380.9168,29581.7891
C. s,471.9417,4951.0326,27656.7044