group,name,value
Young,p16,1.375939875
Young,p16,0.70143673
Young,p16,0.836062493
Young,p16,1.052315326
Young,p16,1.170986717
Young,p16,1.005716174
Old,p16,8.153291144
Old,p16,6.485289124
Old,p16,9.20753348
Old,p16,6.899409812
Old,p16,8.670597801
Old,p16,6.90777019
Old+C.s,p16,4.593303751
Old+C.s,p16,5.996824008
Old+C.s,p16,3.612599983
Old+C.s,p16,5.594574843
Old+C.s,p16,5.511995235
Old+C.s,p16,6.006782209
Young,p21,1.022192327
Young,p21,0.965713176
Young,p21,0.916156943
Young,p21,1.025030378
Young,p21,1.077484165
Young,p21,1.001155913
Old,p21,1.857892035
Old,p21,1.410949807
Old,p21,1.40997215
Old,p21,2.006479848
Old,p21,1.850181324
Old,p21,1.083475602
Old+C.s,p21,0.941913621
Old+C.s,p21,0.923809103
Old+C.s,p21,0.863738598
Old+C.s,p21,1.029302237
Old+C.s,p21,0.777905421
Old+C.s,p21,1.090255801
Young,Il-1b,0.918346284
Young,Il-1b,1.045141624
Young,Il-1b,1.125212254
Young,Il-1b,0.81183556
Young,Il-1b,1.092155915
Young,Il-1b,1.044314281
Old,Il-1b,1.782435151
Old,Il-1b,1.663681713
Old,Il-1b,1.994943743
Old,Il-1b,1.48348211
Old,Il-1b,2.070365428
Old,Il-1b,2.242829698
Old+C.s,Il-1b,1.404424847
Old+C.s,Il-1b,1.683166003
Old+C.s,Il-1b,0.822539833
Old+C.s,Il-1b,1.095747035
Old+C.s,Il-1b,0.92447122
Old+C.s,Il-1b,0.633402641
Young,Il-6,1.302475668
Young,Il-6,0.981282537
Young,Il-6,1.121611804
Young,Il-6,1.075033695
Young,Il-6,0.845849421
Young,Il-6,0.767147028
Old,Il-6,3.492912072
Old,Il-6,3.5923006
Old,Il-6,2.532096432
Old,Il-6,2.121169877
Old,Il-6,2.096008311
Old,Il-6,3.422303034
Old+C.s,Il-6,2.71313493
Old+C.s,Il-6,3.26305829
Old+C.s,Il-6,3.575286339
Old+C.s,Il-6,2.849438501
Old+C.s,Il-6,3.615097962
Old+C.s,Il-6,3.549608529
Young,Tnf-a,1.033
Young,Tnf-a,0.93
Young,Tnf-a,1.001
Young,Tnf-a,1.038
Young,Tnf-a,0.985
Young,Tnf-a,1.017
Old,Tnf-a,1.409
Old,Tnf-a,1.407
Old,Tnf-a,1.911
Old,Tnf-a,1.342
Old,Tnf-a,1.139
Old,Tnf-a,1.238
Old+C.s,Tnf-a,0.701
Old+C.s,Tnf-a,0.855
Old+C.s,Tnf-a,0.745
Old+C.s,Tnf-a,0.932
Old+C.s,Tnf-a,0.895
Old+C.s,Tnf-a,0.971
Young,Prpht,0.885611081
Young,Prpht,1.143256853
Young,Prpht,1.009116011
Young,Prpht,1.026617684
Young,Prpht,1.189754373
Young,Prpht,0.801320027
Old,Prpht,0.761961114
Old,Prpht,1.009926985
Old,Prpht,0.865970694
Old,Prpht,1.059642339
Old,Prpht,1.014939699
Old,Prpht,0.95679669
Old+C.s,Prpht,0.834570811
Old+C.s,Prpht,1.163482719
Old+C.s,Prpht,0.894578704
Old+C.s,Prpht,0.766475331
Old+C.s,Prpht,0.957443269
Old+C.s,Prpht,0.696253783
Young,Zo-1,0.952496431
Young,Zo-1,0.713279654
Young,Zo-1,1.255097691
Young,Zo-1,1.239580109
Young,Zo-1,1.328670617
Young,Zo-1,0.773379529
Old,Zo-1,0.198070701
Old,Zo-1,0.686294522
Old,Zo-1,0.473280351
Old,Zo-1,0.475470386
Old,Zo-1,0.411283901
Old,Zo-1,0.405249511
Old+C.s,Zo-1,1.036094725
Old+C.s,Zo-1,2.317940861
Old+C.s,Zo-1,1.552357958
Old+C.s,Zo-1,1.460379849
Old+C.s,Zo-1,2.368368363
Old+C.s,Zo-1,1.043497381
Young,Occludin,1.327588825
Young,Occludin,1.088517559
Young,Occludin,0.75974783
Young,Occludin,0.82069974
Young,Occludin,1.255248541
Young,Occludin,0.884132761
Old,Occludin,1.422605164
Old,Occludin,0.834776458
Old,Occludin,1.160450802
Old,Occludin,0.815626311
Old,Occludin,1.626534271
Old,Occludin,1.351702944
Old+C.s,Occludin,2.037730013
Old+C.s,Occludin,1.901909908
Old+C.s,Occludin,1.803055146
Old+C.s,Occludin,1.244006083
Old+C.s,Occludin,2.214016861
Old+C.s,Occludin,1.347262954
Young,E-cadherin,1.189891374
Young,E-cadherin,1.09653939
Young,E-cadherin,1.827727015
Young,E-cadherin,1.239363256
Young,E-cadherin,1.522738967
Young,E-cadherin,2.013126373
Old,E-cadherin,0.326388491
Old,E-cadherin,0.338163837
Old,E-cadherin,0.563479576
Old,E-cadherin,0.638975985
Old,E-cadherin,0.404280214
Old,E-cadherin,0.408014722
Old+C.s,E-cadherin,1.101869824
Old+C.s,E-cadherin,1.165430943
Old+C.s,E-cadherin,2.077312403
Old+C.s,E-cadherin,1.407919438
Old+C.s,E-cadherin,0.955985526
Old+C.s,E-cadherin,0.632318094
Young,Claudin-10,0.925207696
Young,Claudin-10,0.852929048
Young,Claudin-10,0.630326254
Young,Claudin-10,1.33141944
Young,Claudin-10,1.034920435
Young,Claudin-10,1.459017849
Old,Claudin-10,0.503681775
Old,Claudin-10,0.225255576
Old,Claudin-10,0.899026847
Old,Claudin-10,0.333151867
Old,Claudin-10,0.458146513
Old,Claudin-10,1.12254064
Old+C.s,Claudin-10,5.814153735
Old+C.s,Claudin-10,6.86908676
Old+C.s,Claudin-10,6.962105478
Old+C.s,Claudin-10,6.703259914
Old+C.s,Claudin-10,6.476560926
Old+C.s,Claudin-10,3.058537414