SampleID,group,tissue,IAA
JA01,Young,Colon,2.475843284
JA02,Young,Colon,2.495911111
JA03,Young,Colon,2.475341259
JA04,Young,Colon,3.732231496
JA05,Young,Colon,2.054664463
JB01,Old,Colon,1.391048837
JB02,Old,Colon,1.214601639
JB03,Old,Colon,1.25791746
JB04,Old,Colon,1.699062295
JB05,Old,Colon,1.552229231
JC01,Old+C.s,Colon,2.938436709
JC02,Old+C.s,Colon,5.442767308
JC03,Old+C.s,Colon,1.942265185
JC04,Old+C.s,Colon,4.270197531
JC05,Old+C.s,Colon,3.678992424
FA01,Young,Feces,21.99434906
FA02,Young,Feces,42.91970957
FA03,Young,Feces,43.11160833
FA04,Young,Feces,42.23876696
FA05,Young,Feces,47.94181622
FB01,Old,Feces,10.31964536
FB02,Old,Feces,9.133434286
FB03,Old,Feces,16.69054483
FB04,Old,Feces,18.44281493
FB05,Old,Feces,19.85636923
FC01,Old+C.s,Feces,35.97317043
FC02,Old+C.s,Feces,48.09371215
FC03,Old+C.s,Feces,45.12198144
FC04,Old+C.s,Feces,32.85269381
FC05,Old+C.s,Feces,34.77921579