baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genus,Species,sig
459.0693285,-26.79346306,3.026256712,-8.853664976,8.47E-19,3.39E-16,g__Gastranaerophilales,s__Candidatus_Gastranaerophilales_bacterium_HUM_6,Depleted
419.780409,26.23066373,3.026278299,8.667631042,4.41E-18,8.82E-16,g__Pseudoclostridium,s__Pseudoclostridium_thermosuccinogenes,Enriched
245.5714216,-25.93962774,3.026315401,-8.571356356,1.02E-17,1.36E-15,g__Ruminiclostridium,s__Ruminiclostridium_herbifermentans,Depleted
227.9042468,-25.83404894,3.026325187,-8.536441838,1.38E-17,1.38E-15,p__Bacillota,s__Firmicutes_bacterium_AM59-13,Depleted
366.2224239,25.66667367,3.026291749,8.481229109,2.23E-17,1.78E-15,g__Pumilibacter,s__Pumilibacter_muris,Enriched
102.8982574,24.26798697,3.02656031,8.018339132,1.07E-15,7.15E-14,g__Intestinimonas,s__Intestinimonas_timonensis,Enriched
145.1439955,24.10953662,3.026451602,7.96627199,1.64E-15,9.34E-14,g__Acetivibrio,s__Acetivibrio_cellulolyticus,Enriched
23029.89205,-5.618818927,0.841633454,-6.676087914,2.45E-11,1.23E-09,g__Kineothrix,s__Kineothrix_sp._MB12-C1,Depleted
729351.0124,-3.021848856,0.533562563,-5.663532386,1.48E-08,6.59E-07,g__Ileibacterium,s__Ileibacterium_valens,Depleted
34182.26211,-6.884529379,1.380333772,-4.987583088,6.11E-07,2.45E-05,g__Kineothrix,s__Kineothrix_alysoides,Depleted
12950.8953,-2.725656282,0.563303652,-4.838698046,1.31E-06,4.75E-05,g__Acetivibrio,s__Acetivibrio_cellulolyticus,Depleted
17080.84895,-1.791439438,0.372770439,-4.805744366,1.54E-06,5.14E-05,g__Parapedobacter,s__Parapedobacter_pyrenivorans,Depleted
173.9664797,11.06806862,2.522305035,4.388076965,1.14E-05,0.000351869,g__Phocaeicola,s__Phocaeicola_sartorii,Enriched
13220.6366,1.619575684,0.373648014,4.334495625,1.46E-05,0.000417413,g__Clostridium,s__Clostridium_scindens,Enriched
1691568.235,2.190096457,0.568969364,3.849234417,0.000118488,0.003159669,g__Allobaculum,s__Allobaculum_fili,Enriched
245.151731,11.56271076,3.02634355,3.820686768,0.000133081,0.003327015,g__Borkfalkia,s__Candidatus_Borkfalkia_ceftriaxoniphila,Enriched
8057.425938,3.453345297,0.964424373,3.580732085,0.000342633,0.008061949,f__Lachnospiraceae,s__unclassified_f__Lachnospiraceae,Enriched
6055.435391,-2.011924283,0.585757096,-3.434741631,0.000593119,0.013180423,o__Burkholderiales,s__Burkholderiales_bacterium_YL45,Depleted
122.2525337,-10.27934464,3.026442652,-3.396510631,0.000682509,0.013650181,g__Alistipes,s__unclassified_g__Alistipes,Depleted
102.5846075,10.30591359,3.02656151,3.405155837,0.000661263,0.013650181,g__Muribaculum,s__Muribaculum_intestinale,Enriched
42019.23923,4.412820252,1.331117268,3.315125089,0.000916021,0.017448024,g__Lachnoclostridium,s__Lachnoclostridium_sp._MSJ-17,Enriched
98.93881726,-9.97408795,3.026502369,-3.295582403,0.000982179,0.017857799,g__Lachnoclostridium,s__Lachnoclostridium_edouardi,Depleted
75.89720549,9.871208867,3.026693292,3.261383932,0.001108698,0.019281706,g__Diplocloster,s__Diplocloster_modestus,Enriched
17824.36248,4.206167509,1.331576188,3.158788469,0.001584264,0.026404406,f__Lachnospiraceae,s__Lachnospiraceae_bacterium_M18-1,Enriched
3225.031458,1.96563087,0.633444868,3.103081213,0.001915171,0.030642732,g__Ruminococcus,s__Ruminococcus_sp._5_1_39BFAA,Enriched
6186.19101,-6.331043925,2.069248641,-3.059585881,0.002216432,0.032875804,g__Fusimonas,s__Fusimonas_intestini,Depleted
57.63159736,-9.194447051,3.026726785,-3.037752563,0.002383496,0.032875804,f__Oscillospiraceae,s__unclassified_f__Oscillospiraceae,Depleted
5611.818388,-3.207565243,1.049327945,-3.056780541,0.00223728,0.032875804,g__Prevotella,s__Prevotella_sp._MGM1,Depleted
5671.569514,-4.034752534,1.327889636,-3.038469784,0.002377829,0.032875804,g__Ruminococcus,s__Ruminococcus_sp._zg-924,Depleted
1791.960985,2.37677914,0.797145538,2.981612551,0.002867346,0.038231284,g__Alistipes,s__Alistipes_sp._CHKCI003,Enriched
45264.12401,-5.910822897,1.989785102,-2.970583552,0.002972345,0.038352844,g__Clostridium,s__Clostridium_sp._KLE_1755,Depleted
3591.770589,-1.924694187,0.663547988,-2.900610391,0.003724366,0.046554579,g__Paramuribaculum,s__Paramuribaculum_intestinale,Depleted
11316.30805,1.368097295,0.491832813,2.781630787,0.005408653,0.065559434,g__unclassified_f__Lachnospiraceae,s__unclassified_f__Lachnospiraceae,Unchanged
4781.945303,2.122010226,0.774886777,2.738477788,0.006172433,0.072616859,g__Bacteroides,s__Bacteroides_caecimuris,Unchanged
13368.97365,2.419719904,0.92627515,2.612312231,0.008993208,0.102779519,g__Solibaculum,s__Solibaculum_mannosilyticum,Unchanged
1022.299572,-1.962996098,0.764823666,-2.566599579,0.010270113,0.114112369,g__Anaerotruncus,s__Anaerotruncus_sp._80,Unchanged
10706.41757,-1.87662904,0.7379271,-2.543108987,0.010987095,0.118779408,g__Clostridium,s__Clostridium_transplantifaecale,Unchanged
3148.592491,1.881578298,0.754939627,2.492355987,0.012689878,0.122323099,g__Kineothrix,s__Kineothrix_alysoides,Unchanged
27019.78768,-2.456672019,0.982812599,-2.499634235,0.012432159,0.122323099,g__Clostridium,s__Clostridium_sp._Culture-41,Unchanged
2189.330698,-5.891026742,2.351331609,-2.505400224,0.01223129,0.122323099,g__Fusimonas,s__Fusimonas_intestini,Unchanged
10309.55917,-1.740763515,0.693642026,-2.50959926,0.012086824,0.122323099,g__norank_f__Porphyromonadaceae,s__Porphyromonadaceae_bacterium_UBA7139,Unchanged
174402.8635,1.305994502,0.524903106,2.488067775,0.012843925,0.122323099,g__Desulfovibrio,s__Desulfovibrio_desulfuricans,Unchanged
19598.6905,-1.569819423,0.639125986,-2.456197146,0.01404161,0.130619629,g__Muribaculum,s__Muribaculum_intestinale,Unchanged
15110.83104,-1.232439939,0.50509131,-2.440033937,0.014685882,0.13350802,g__Muribaculum,s__Muribaculum_intestinale,Unchanged
7161.210546,2.298971341,0.952018362,2.414839285,0.015742154,0.139930258,g__Huintestinicola,s__Huintestinicola_butyrica,Unchanged
15393.35887,-1.544566018,0.649962392,-2.376392908,0.017482836,0.150112909,g__norank_f__Lachnospiraceae,s__Lachnospiraceae_bacterium_M18-1,Unchanged
4314.131431,-2.238867853,0.943425789,-2.373125559,0.017638267,0.150112909,g__norank_d__Bacteria,s__bacterium_1XD8-76,Unchanged
14029.65881,3.524846662,1.513879221,2.328353948,0.019893317,0.165777641,g__norank_f__Oscillospiraceae,s__Eubacterium_siraeum,Unchanged
1706.015588,-2.868770685,1.240975862,-2.311705466,0.02079392,0.169746285,g__Fusimonas,s__Fusimonas_intestini,Unchanged
99411.19758,-1.922603064,0.85683864,-2.243833289,0.02484313,0.198745037,g__Faecalibaculum,s__Faecalibaculum_rodentium,Unchanged
3422.434697,-1.520756964,0.69901448,-2.175572906,0.029587211,0.232056558,g__norank_d__Bacteria,s__bacterium_1XD8-76,Unchanged
5610.403439,1.1653824,0.537852709,2.166731487,0.030255334,0.232733341,g__Enterocloster,s__Enterocloster_bolteae,Unchanged
2227.608113,5.920190573,2.756108238,2.148025426,0.031711736,0.239333854,g__Clostridium,s__unclassified_g__Clostridium,Unchanged
3692.109581,1.700115225,0.798115647,2.130161502,0.033158282,0.245616906,g__Odoribacter,s__Odoribacter_sp._Z80,Unchanged
4911.259822,-2.714000354,1.284409925,-2.113032841,0.034597957,0.251621506,g__Muricomes,s__Muricomes_intestini,Unchanged
78063.31538,2.366086732,1.126737721,2.099944547,0.035733719,0.255240853,g__Gallintestinimicrobium,s__Gallintestinimicrobium_propionicum,Unchanged
3810.471618,0.880141095,0.423222672,2.079617073,0.03756067,0.259039101,g__unclassified_f__Lachnospiraceae,s__unclassified_f__Lachnospiraceae,Unchanged
2821.400094,5.54534897,2.65973108,2.084928439,0.037075797,0.259039101,g__Klebsiella,s__Klebsiella_michiganensis,Unchanged
5699.680987,-2.043702272,0.996246629,-2.051401944,0.04022782,0.27120995,g__norank_f__Erysipelotrichaceae,s__Erysipelotrichaceae_bacterium_OPF54,Unchanged
4059.199022,-2.96162614,1.447082002,-2.046619428,0.040695466,0.27120995,g__Kineothrix,s__Kineothrix_alysoides,Unchanged
11898.41904,-0.686580952,0.337693493,-2.033148302,0.042037542,0.27120995,g__norank_f__Porphyromonadaceae,s__Porphyromonadaceae_bacterium_UBA7139,Unchanged
6461.584583,1.8551982,0.911941973,2.03433799,0.041917529,0.27120995,g__norank_f__Lachnospiraceae,s__Lachnospiraceae_bacterium_GAM79,Unchanged
2260.043402,-2.764248585,1.365422676,-2.024463658,0.042922468,0.272523604,g__Clostridium,s__Clostridium_sp._Clone-49,Unchanged
2150.693308,-2.759969463,1.382757393,-1.995989663,0.045935048,0.286711025,g__Leptogranulimonas,s__Leptogranulimonas_caecicola,Unchanged
1862.846421,1.893745871,0.95162938,1.990003577,0.046590541,0.286711025,g__Acutalibacter,s__Acutalibacter_sp._1XD8-36,Unchanged
7100.78323,-2.097402625,1.076165844,-1.948958551,0.051300375,0.28970099,g__Petroclostridium,s__Petroclostridium_xylanilyticum,Unchanged
2327.279538,-1.222367505,0.627517463,-1.947941814,0.051421926,0.28970099,g__unclassified_f__Clostridiaceae,s__unclassified_f__Clostridiaceae,Unchanged
7463.551834,-2.008420503,1.018094394,-1.972725235,0.048526875,0.28970099,g__norank_o__Eubacteriales,s__Clostridiales_bacterium_CIEAF_026,Unchanged
4544.050655,-1.338084053,0.68229455,-1.961153072,0.049861169,0.28970099,g__Vescimonas,s__Vescimonas_fastidiosa,Unchanged
1088.37002,3.246509242,1.659938436,1.955800994,0.050488602,0.28970099,g__norank_f__Porphyromonadaceae,s__Porphyromonadaceae_bacterium_UBA7139,Unchanged
728.185601,-5.665817769,2.888270409,-1.961664583,0.049801548,0.28970099,g__Clostridium,s__Clostridium_sp._Clone-1,Unchanged
13305.17161,-1.067845675,0.554815574,-1.924685834,0.054268674,0.301492632,g__Paramuribaculum,s__Paramuribaculum_intestinale,Unchanged
3156.284765,-1.229778803,0.649876167,-1.892327899,0.058447306,0.32025921,g__norank_p__Candidatus_Saccharibacteria,s__unclassified_g__norank_p__Candidatus_Saccharibacteria,Unchanged
2237.744022,-2.777076739,1.474017163,-1.884019269,0.059562369,0.321958752,g__Aerococcus,s__Aerococcus_urinaeequi,Unchanged
751.7904054,1.185481638,0.639111149,1.854891186,0.063611767,0.339262756,g__Alistipes,s__Alistipes_putredinis,Unchanged
12763.51757,1.175974134,0.638038304,1.843108991,0.065313099,0.343753152,g__Alistipes,s__unclassified_g__Alistipes,Unchanged
1330.899478,-4.357125455,2.452216006,-1.776811441,0.075599269,0.387688558,g__Eubacterium,s__Eubacterium_plexicaudatum,Unchanged
4748.178453,4.51223374,2.531901521,1.78215215,0.074724423,0.387688558,g__Kineothrix,s__Kineothrix_alysoides,Unchanged
1801.524626,2.94486101,1.664454121,1.769265354,0.076849602,0.38911191,g__unclassified_f__Lachnospiraceae,s__unclassified_f__Lachnospiraceae,Unchanged
1924.026859,-2.499352643,1.426330913,-1.752295081,0.079723081,0.393694229,g__Dorea,s__Dorea_sp._AM10-31,Unchanged
301.9140991,3.347329939,1.907636802,1.754699813,0.079310668,0.393694229,g__Anaerotignum,s__Anaerotignum_lactatifermentans,Unchanged
4952.056617,1.674606228,0.964210709,1.736763772,0.082428876,0.402092078,g__unclassified_o__Eubacteriales,s__unclassified_o__Eubacteriales,Unchanged
70518.95902,1.640757663,0.963676891,1.70260144,0.08864268,0.416081257,g__Akkermansia,s__Akkermansia_muciniphila,Unchanged
1217.958979,4.901568002,2.886218352,1.698266522,0.08945747,0.416081257,g__Suilimivivens,s__Suilimivivens_aceti,Unchanged
532.1948244,4.688560027,2.738406641,1.71214894,0.086869224,0.416081257,g__Euzebya,s__unclassified_g__Euzebya,Unchanged
1861.581464,2.265654657,1.325501076,1.709281643,0.087398792,0.416081257,g__norank_d__Bacteria,s__bacterium_1XD8-76,Unchanged
923.7245515,-1.246046405,0.738994962,-1.686136535,0.091769504,0.421928756,g__Acetivibrio,s__Acetivibrio_sp._MSJd-27,Unchanged
6732.509533,0.786456609,0.479102553,1.641520387,0.100689439,0.452536803,g__Alistipes,s__Alistipes_onderdonkii,Unchanged
333.3991896,2.611594271,1.58628913,1.646354515,0.099690792,0.452536803,g__Culturomica,s__Culturomica_massiliensis,Unchanged
577.3170808,-2.478781849,1.532767686,-1.617193442,0.105836532,0.465215523,g__norank_p__Candidatus_Melainabacteria,s__Candidatus_Melainabacteria_bacterium,Unchanged
498.9967667,-4.676136215,2.887573492,-1.619399897,0.105361249,0.465215523,g__Pseudoclostridium,s__Pseudoclostridium_thermosuccinogenes,Unchanged
1474.962507,3.280872698,2.046639991,1.603053156,0.108922919,0.469934878,g__unclassified_f__Lachnospiraceae,s__unclassified_f__Lachnospiraceae,Unchanged
418.939132,4.624334449,2.887450175,1.601528743,0.109259859,0.469934878,g__Pumilibacter,s__Pumilibacter_muris,Unchanged
4843.23931,2.741855477,1.731726235,1.583307697,0.113351349,0.482346168,g__Jeotgalicoccus,s__Jeotgalicoccus_nanhaiensis,Unchanged
810.2170623,-3.031685358,1.936002365,-1.565951268,0.117360026,0.494147479,g__Parasutterella,s__Parasutterella_muris,Unchanged
1891.158109,-4.381163198,2.84663406,-1.539067933,0.123787713,0.494236515,g__norank_f__Oscillospiraceae,s__Eubacterium_siraeum,Unchanged
956.7935159,-2.378453735,1.559669696,-1.524972717,0.127265903,0.494236515,g__norank_f__Erysipelotrichaceae,s__Erysipelotrichaceae_bacterium_MTC7,Unchanged
51953.78923,2.068898208,1.328481501,1.557340623,0.119389636,0.494236515,g__Suilimivivens,s__Suilimivivens_aceti,Unchanged
1537.470946,-1.12052657,0.727758231,-1.539696182,0.123634428,0.494236515,g__Lachnoclostridium,s__Lachnoclostridium_edouardi,Unchanged
3625.505546,2.279694367,1.474693488,1.545876743,0.122134338,0.494236515,g__Eubacterium,s__Eubacterium_sp._14-2,Unchanged
246.7128773,-3.600300694,2.351970828,-1.530759077,0.125828947,0.494236515,g__Parvibacter,s__Parvibacter_caecicola,Unchanged
2323.669799,1.027257908,0.672221851,1.528153105,0.126474529,0.494236515,g__Kineothrix,s__Kineothrix_alysoides,Unchanged
4743.317624,-3.559561089,2.291699744,-1.553240601,0.120365665,0.494236515,g__Eubacterium,s__Eubacterium_sp._14-2,Unchanged
4940.426885,1.171460793,0.776767953,1.508121941,0.131523321,0.504970812,g__Alistipes,s__Alistipes_inops,Unchanged
490.8019334,3.65779783,2.431879823,1.504103038,0.132554838,0.504970812,g__Clostridium,s__Clostridium_sp._Culture-41,Unchanged
616.8665422,-4.272061466,2.886743579,-1.479889484,0.138902743,0.522920621,g__norank_p__Bacillota,s__Firmicutes_bacterium_AM59-13,Unchanged
12453.20842,-0.845553983,0.572778008,-1.476233325,0.139881266,0.522920621,g__Duncaniella,s__Duncaniella_dubosii,Unchanged
6490.296004,-1.788461857,1.249660884,-1.431157749,0.15238501,0.564388924,g__unclassified_f__Clostridiaceae,s__unclassified_f__Clostridiaceae,Unchanged
748.9198193,-3.389682188,2.424194844,-1.398271346,0.162031599,0.565123919,g__Pseudoclostridium,s__Pseudoclostridium_thermosuccinogenes,Unchanged
2075.730434,0.887408876,0.633784573,1.400174308,0.161461127,0.565123919,g__Bacteroides,s__Bacteroides_uniformis,Unchanged
4551.067496,2.083047899,1.462957052,1.423861279,0.154486633,0.565123919,g__Petroclostridium,s__Petroclostridium_sp._X23,Unchanged
1101.37194,4.010529438,2.837283401,1.413510345,0.157505722,0.565123919,g__Petralouisia,s__Petralouisia_muris,Unchanged
1626.739482,2.462192312,1.755942943,1.402205192,0.160853982,0.565123919,g__unclassified_f__Lachnospiraceae,s__unclassified_f__Lachnospiraceae,Unchanged
569.0056834,3.30264748,2.364434992,1.39680198,0.162473127,0.565123919,g__Clostridium,s__Clostridium_sp._OM05-9BH,Unchanged
8648.068916,-2.276780768,1.619861608,-1.405540299,0.159860675,0.565123919,g__Clostridium,s__Clostridium_sp._BNL1100,Unchanged
4773.242579,1.171851876,0.844914948,1.386946553,0.165458061,0.565668584,g__norank_f__Lachnospiraceae,s__Lachnospiraceae_bacterium_5_1_57FAA,Unchanged
1991.132119,-1.081236854,0.778969332,-1.388035203,0.165126326,0.565668584,g__Lachnoclostridium,s__Lachnoclostridium_edouardi,Unchanged
3312.145775,-2.470096838,1.815009162,-1.360928027,0.173536435,0.586852294,g__norank_f__Clostridiaceae,s__Clostridiaceae_bacterium_MS3,Unchanged
608.9002701,3.918447402,2.886290839,1.357606569,0.174588558,0.586852294,g__Congzhengia,s__Congzhengia_minquanensis,Unchanged
729.427365,-3.717764864,2.815383284,-1.320518199,0.186662064,0.62220688,g__Monoglobus,s__Monoglobus_pectinilyticus,Unchanged
1215.838438,-0.978700646,0.751654079,-1.302062575,0.192894996,0.637669407,g__norank_d__Bacteria,s__bacterium_1XD42-54,Unchanged
883.1427654,-1.008362036,0.7976797,-1.264118964,0.206187331,0.649408916,g__Enterocloster,s__Enterocloster_clostridioformis,Unchanged
849.0935537,-0.77869867,0.613184972,-1.269924583,0.204111496,0.649408916,g__Guopingia,s__Guopingia_tenuis,Unchanged
435.3332163,2.126942135,1.653047786,1.286679159,0.19820614,0.649408916,g__Roseburia,s__Roseburia_sp._1XD42-69,Unchanged
975.126034,-0.73236626,0.576553833,-1.270247838,0.203996362,0.649408916,g__norank_f__Eubacteriaceae,s__Eubacteriaceae_bacterium_Marseille-Q4139,Unchanged
918.5733079,-2.21507999,1.749300723,-1.266265977,0.205417873,0.649408916,g__Ruminococcus,s__Ruminococcus_hominis,Unchanged
5850.023904,-0.737432519,0.581957812,-1.267158037,0.205098787,0.649408916,g__norank_o__Eubacteriales,s__Clostridiales_bacterium_CIEAF_022,Unchanged
384.1718286,-3.542886984,2.843202892,-1.246090103,0.212731318,0.664785368,g__Fusimonas,s__Fusimonas_intestini,Unchanged
445.6997153,-3.55802972,2.886595067,-1.232604379,0.217723402,0.675111326,g__Clostridium,s__Clostridium_sp._OM05-9BH,Unchanged
1076.86829,0.916641425,0.747343449,1.22653303,0.219998154,0.676199871,g__Lachnoclostridium,s__Lachnoclostridium_edouardi,Unchanged
1444.55931,-2.4776846,2.026458878,-1.222667101,0.221455458,0.676199871,g__Pseudoclostridium,s__Pseudoclostridium_thermosuccinogenes,Unchanged
868.4283046,-1.460829955,1.215398073,-1.201935388,0.229388562,0.689890413,g__Parasutterella,s__Parasutterella_excrementihominis,Unchanged
1580.129289,-1.580503702,1.312838266,-1.203883024,0.228634794,0.689890413,g__unclassified_o__Eubacteriales,s__unclassified_o__Eubacteriales,Unchanged
346.5903857,-2.448893085,2.069890674,-1.183102623,0.236768479,0.689950094,g__Adlercreutzia,s__Adlercreutzia_murintestinalis,Unchanged
754.5143083,-2.901589086,2.456599972,-1.181140242,0.237547016,0.689950094,g__norank_f__Lachnospiraceae,s__Lachnospiraceae_bacterium_MD329,Unchanged
421.8463675,-2.422943175,2.053711264,-1.179787645,0.238084685,0.689950094,g__Clostridium,s__Clostridium_sp._Clone-49,Unchanged
2507.923907,0.662166544,0.566249261,1.169390565,0.242246309,0.689950094,g__Prevotellamassilia,s__Prevotellamassilia_timonensis,Unchanged
1731.156776,-1.275850106,1.088456091,-1.172164975,0.241130827,0.689950094,g__Clostridium,s__Clostridium_sp._Culture-41,Unchanged
482.2661007,3.416034461,2.886237979,1.183559528,0.236587469,0.689950094,g__Clostridium,s__Clostridium_sp._MD294,Unchanged
192.7258537,3.433938397,2.878515932,1.192954452,0.232887212,0.689950094,g__Bacteroides,s__Bacteroides_intestinalis,Unchanged
343.979468,-3.368907086,2.886791702,-1.167007333,0.243207408,0.689950094,g__Roseburia,s__Roseburia_sp._1XD42-69,Unchanged
344.1564782,-3.308194035,2.862700793,-1.155619911,0.24783666,0.698131437,g__Intestinimonas,s__Intestinimonas_gabonensis,Unchanged
1993.904495,-1.274905394,1.1148158,-1.143601835,0.2527888,0.70710154,g__Eubacterium,s__Eubacterium_sp._14-2,Unchanged
16706.85175,0.772360155,0.679701881,1.136321931,0.255821855,0.710616265,g__Paramuribaculum,s__Paramuribaculum_intestinale,Unchanged
