group,value,treatment,cell
pGL4 Basic1,0.960402182,pGL4 Basic,pGL4 Basic
pGL4 Basic1,1.045875965,pGL4 Basic,pGL5 Basic
pGL4 Basic1,1,pGL4 Basic,pGL6 Basic
pGL4 Basic1,1.071394123,pGL4 Basic,pGL7 Basic
Cldn10 promotor2,8.081262923,PBS,WT
Cldn10 promotor2,7.957800728,PBS,WT
Cldn10 promotor2,8.458292197,PBS,WT
Cldn10 promotor2,7.950497578,PBS,WT
Cldn10 promotor3,10.79577915,IAA,WT
Cldn10 promotor3,10.31369237,IAA,WT
Cldn10 promotor3,10.6636382,IAA,WT
Cldn10 promotor3,10.10216047,IAA,WT
Cldn10XRE promotor4,7.003095845,PBS,WT
Cldn10XRE promotor4,7.159166629,PBS,WT
Cldn10XRE promotor4,6.81742768,PBS,WT
Cldn10XRE promotor4,7.018928822,PBS,WT
Cldn10XRE promotor5,7.402614192,IAA,WT
Cldn10XRE promotor5,7.595559938,IAA,WT
Cldn10XRE promotor5,7.574651995,IAA,WT
Cldn10XRE promotor5,7.432133815,IAA,WT
Cldn10 promotor6,3.53902229,PBS,shAhr
Cldn10 promotor6,3.790446909,PBS,shAhr
Cldn10 promotor6,3.884884815,PBS,shAhr
Cldn10 promotor6,3.820291535,PBS,shAhr
Cldn10 promotor7,3.981813052,IAA,shAhr
Cldn10 promotor7,3.938305364,IAA,shAhr
Cldn10 promotor7,4.433211354,IAA,shAhr
Cldn10 promotor7,3.997487749,IAA,shAhr
Cldn10XRE promotor8,3.839439571,PBS,shAhr
Cldn10XRE promotor8,4.004695565,PBS,shAhr
Cldn10XRE promotor8,3.940213727,PBS,shAhr
Cldn10XRE promotor8,3.973927164,PBS,shAhr
Cldn10XRE promotor9,3.932431258,IAA,shAhr
Cldn10XRE promotor9,3.962191638,IAA,shAhr
Cldn10XRE promotor9,3.621431862,IAA,shAhr
Cldn10XRE promotor9,4.331027953,IAA,shAhr